ax,ay,az
14340,-952,7056
14340,-800,6976
14512,-924,7092
14468,-788,7168
14476,-856,7016
14428,-800,7084
14412,-824,7124
14444,-872,7068
14372,-868,7160
14588,-860,6936
14452,-772,7084
14468,-832,6896
14492,-848,7184
14400,-884,6996
14492,-916,7168
14396,-944,6868
14408,-1004,7004
14528,-828,7148
14428,-864,7124
14492,-856,7144
14424,-844,7040
14544,-868,7092
14412,-752,6980
14516,-800,7084
14508,-836,7080
14436,-860,7148
14392,-960,6932
14512,-1036,7216
14512,-816,7088
14496,-780,7064
14428,-724,7164
14480,-872,7100
14400,-828,7016
14416,-920,7076
14492,-988,7064
14384,-900,6824
14432,-724,6940
14436,-848,7104
14444,-844,7200
14364,-860,6964
14532,-764,7000
14428,-956,6904
14352,-788,7028
14472,-808,7068
14496,-808,7008
14424,-848,7044
14464,-896,7040
14428,-764,7136
14336,-964,7032
14420,-916,7112
14492,-892,7032
14452,-788,7104
14496,-848,7140
14488,-932,6988
14400,-828,7152
14480,-832,7044
14452,-940,7008
14436,-908,7212
14424,-824,6948
14492,-864,7080
14516,-892,7076
14412,-1024,7164
14452,-852,7044
14380,-920,7064
14492,-880,7152
14428,-968,7248
14436,-840,7112
14424,-884,6968
14472,-840,7060
14404,-920,6992
14468,-868,7148
14532,-780,7004
14332,-948,7128
14400,-812,7080
14524,-772,6972
14484,-920,7020
14488,-912,6952
14428,-912,7164
14396,-844,7196
14400,-752,7004
14428,-912,7032
14452,-904,7056
14460,-1012,6832
14512,-976,7096
14468,-876,7040
14352,-880,6968
14504,-896,7068
14472,-868,7124
14496,-908,7196
14480,-864,7028
14492,-832,7100
14484,-900,7032
14396,-860,7096
14452,-892,7004
14488,-800,7068
14428,-840,7072
14416,-860,7100
14468,-924,6932
14380,-800,7208
14440,-960,7244
14484,-780,7008
14384,-792,6912
14424,-820,7120
14464,-856,7020
14384,-808,7072
14484,-952,6936
14436,-884,7148
