ax,ay,az
14464,76,6940
14456,208,6928
14472,120,6948
14496,164,7076
14376,64,7080
14496,148,6972
14524,160,6900
14432,36,6972
14504,80,6876
14552,-28,7024
14432,112,6928
14408,16,6856
14508,64,7056
14528,124,6988
14536,48,6912
14504,20,7132
14536,-24,6960
14488,36,7096
14476,72,6972
14520,0,6992
14520,12,6900
14412,84,6896
14484,120,6868
14592,160,6908
14440,100,6932
14452,140,6904
14452,156,6864
14508,56,6880
14516,84,6912
14388,120,6912
14620,116,6936
14524,164,6964
14492,52,6840
14456,56,7060
14456,72,6724
14556,28,6984
14524,-44,6904
14464,-12,7008
14584,-24,7092
14436,12,6824
14416,84,7036
14544,-40,7064
14484,48,6848
14512,40,6884
14504,92,6848
14452,56,6900
14504,36,6876
14460,88,6816
14436,128,7036
14408,100,6944
14504,60,7008
14416,116,6764
14560,8,6784
14508,152,7052
14552,124,7036
14408,96,7032
14420,96,6868
14428,92,6792
14476,132,7064
14432,104,6872
14532,64,7004
14584,112,6932
14540,-24,6984
14516,72,6968
14564,-4,6848
14448,12,6856
14536,140,6956
14464,60,6896
14416,-28,6936
14432,36,6788
14560,96,6896
14448,60,6992
14536,92,6912
14540,152,6928
14584,136,6860
14436,120,6888
14448,12,6996
14568,80,6824
14504,132,7016
14344,124,6860
14540,160,6880
14512,120,6764
14528,76,7024
14532,64,6812
14492,32,6892
14440,52,7024
14424,0,6972
14440,76,6836
14532,44,6952
14440,-28,6972
14460,52,6980
14500,-72,6908
14460,72,6988
14548,144,6964
14392,24,7140
14560,128,6908
14524,-44,6912
14512,104,6864
14460,56,6852
14580,28,6932
14512,120,6864
14412,52,7100
14516,156,6936
14520,120,7024
14464,108,6912
14568,152,6912
14584,36,6972
14432,196,6984
14548,136,7040
14452,136,6948
14460,108,6808
14460,-44,6564
14568,44,6960
14576,168,7028
14556,-68,7004
14424,4,6992
14612,152,6968
14540,52,6888
14548,96,7004
14588,-48,6924
14512,124,7112
14516,128,6852
14280,-96,6756
14556,124,6616
14360,60,6888
14536,160,6896
14480,76,6992
14472,156,6944
14364,28,6964
14476,136,6988
14888,104,7016
14620,176,6944
14512,172,6944
14508,152,7172
14640,184,6924
14532,168,6864
14396,108,6892
14492,16,6928
14432,88,6988
14476,144,6848
11592,-2040,5396
13268,208,5764
13884,-372,6704
14100,204,6524
14236,-8,6844
14424,112,6908
14380,188,6936
14444,228,6852
14572,108,7012
14528,108,6844
14520,-40,6972
